Frame 1: Sorpresa: 0.0006, Miedo: 0.0002, Enojado: 0.0004, Neutral: 0.0137, Triste: 0.0005, Disgustado: 0.0002, Feliz: 0.9844
Frame 2: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0026, Triste: 0.0000, Disgustado: 0.0001, Feliz: 0.9972
Frame 3: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0003, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9995
Frame 4: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0015, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9983
Frame 5: Sorpresa: 0.0017, Miedo: 0.0006, Enojado: 0.0004, Neutral: 0.0126, Triste: 0.0007, Disgustado: 0.0003, Feliz: 0.9837
Frame 6: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0016, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9982
Frame 7: Sorpresa: 0.0012, Miedo: 0.0008, Enojado: 0.0005, Neutral: 0.0220, Triste: 0.0023, Disgustado: 0.0005, Feliz: 0.9726
Frame 8: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0009, Triste: 0.0001, Disgustado: 0.0001, Feliz: 0.9988
Frame 9: Sorpresa: 0.0010, Miedo: 0.0002, Enojado: 0.0002, Neutral: 0.0162, Triste: 0.0004, Disgustado: 0.0003, Feliz: 0.9818
Frame 10: Sorpresa: 0.0049, Miedo: 0.0028, Enojado: 0.0044, Neutral: 0.2661, Triste: 0.0080, Disgustado: 0.0025, Feliz: 0.7113
Frame 11: Sorpresa: 0.0011, Miedo: 0.0002, Enojado: 0.0002, Neutral: 0.0075, Triste: 0.0003, Disgustado: 0.0001, Feliz: 0.9905
Frame 12: Sorpresa: 0.0084, Miedo: 0.0003, Enojado: 0.0003, Neutral: 0.0579, Triste: 0.0012, Disgustado: 0.0003, Feliz: 0.9315
Frame 13: Sorpresa: 0.0022, Miedo: 0.0004, Enojado: 0.0004, Neutral: 0.0164, Triste: 0.0010, Disgustado: 0.0004, Feliz: 0.9792
Frame 14: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0011, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9983
Frame 15: Sorpresa: 0.0016, Miedo: 0.0003, Enojado: 0.0001, Neutral: 0.0083, Triste: 0.0001, Disgustado: 0.0001, Feliz: 0.9894
Frame 16: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0002, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9997
Frame 17: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0033, Triste: 0.0000, Disgustado: 0.0001, Feliz: 0.9964
Frame 18: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0008, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9991
Frame 19: Sorpresa: 0.0005, Miedo: 0.0002, Enojado: 0.0001, Neutral: 0.0042, Triste: 0.0002, Disgustado: 0.0002, Feliz: 0.9947
Frame 20: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0186, Triste: 0.0002, Disgustado: 0.0001, Feliz: 0.9807
Frame 21: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0008, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9989
